,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gambela,68,ET,1536906519,92,8.25,34.59,66.8,3.69
1,Nemuro,40,JP,1536901200,78,43.32,145.57,73.4,9.17
2,Bluff,0,AU,1536906618,26,-23.58,149.07,85.07,9.17
3,Ushuaia,20,AR,1536904800,69,-54.81,-68.31,39.2,20.8
4,Mataura,8,NZ,1536906430,58,-46.19,168.86,57.08,12.75
5,Pangnirtung,8,CA,1536906619,92,66.15,-65.72,31.43,15.77
6,Khatanga,0,RU,1536906619,99,71.98,102.47,45.02,5.37
7,Itupiranga,0,BR,1536904800,94,-5.13,-49.33,75.2,4.14
8,Puerto Ayora,68,EC,1536906452,100,-0.74,-90.35,70.22,10.63
9,Dalvik,75,SE,1536904200,93,57.79,14.13,51.8,12.75
10,Bethel,1,US,1536904380,74,60.79,-161.76,55.94,4.7
11,Faya,0,SA,1536901200,33,18.39,42.45,77,4.03
12,Greensboro,90,US,1536906000,82,36.07,-79.79,77,16.11
13,Hithadhoo,80,MV,1536906621,100,-0.6,73.08,82.82,14.2
14,Vila Velha,0,BR,1536904800,78,-3.71,-38.6,77,13.87
15,Bambous Virieux,40,MU,1536904800,61,-20.34,57.76,77,13.87
16,Bela Vista,76,BR,1536906622,93,-22.11,-56.53,65.09,2.91
17,Punta Arenas,75,CL,1536904800,93,-53.16,-70.91,39.2,8.05
18,Chokurdakh,88,RU,1536906623,95,70.62,147.9,39.71,13.65
19,Ust-Koksa,0,RU,1536906623,50,50.27,85.62,46.1,2.57
21,Cam Ranh,76,VN,1536906624,100,11.92,109.15,79.58,4.7
22,Thompson,90,CA,1536904800,93,55.74,-97.86,42.8,13.87
23,Brody,20,UA,1536906624,74,50.08,25.14,67.25,4.36
24,Dolinsk,100,RU,1536903000,68,47.32,142.8,69.8,11.18
25,Qaanaaq,0,GL,1536906625,100,77.48,-69.36,24.23,6.15
26,Albany,75,US,1536904440,89,42.65,-73.75,66.02,2.57
27,New Norfolk,0,AU,1536904800,57,-42.78,147.06,69.8,18.34
28,Kodiak,1,US,1536904380,100,39.95,-94.76,68,3.36
29,Narsaq,92,GL,1536904200,86,60.91,-46.05,37.4,6.93
30,Kavieng,24,PG,1536906626,100,-2.57,150.8,83.72,2.35
31,Padang,12,ID,1536906431,100,-0.92,100.36,79.4,4.7
32,Rikitea,88,PF,1536906429,100,-23.12,-134.97,73.82,10.29
33,Niquero,0,CU,1536906366,100,20.04,-77.58,80.39,4.92
34,East London,0,ZA,1536904800,63,-33.02,27.91,60.8,9.17
35,Omboue,92,GA,1536906627,100,-1.57,9.26,75.62,10.4
36,Launceston,0,AU,1536904800,54,-41.43,147.14,59,25.28
37,Elizabeth City,90,US,1536905400,93,36.3,-76.22,81.14,18.79
38,Nichinan,75,JP,1536904800,88,31.65,131.31,84.2,5.82
40,Balkanabat,0,TM,1536906629,26,39.51,54.36,76.61,4.59
41,Bathsheba,40,BB,1536904800,78,13.22,-59.52,82.4,19.46
42,Mangrol,0,IN,1536906629,100,25.33,76.51,81.47,5.48
44,Bredasdorp,100,ZA,1536904800,67,-34.53,20.04,57.2,5.82
45,Sao Filipe,68,CV,1536906630,100,14.9,-24.5,75.89,6.38
46,Mirnyy,64,RU,1536906578,81,56.57,36.46,56.09,5.59
47,Atar,0,MR,1536906630,83,20.52,-13.05,70.85,2.57
48,Kavaratti,8,IN,1536906630,100,10.57,72.64,82.19,3.58
49,Pilar,90,AR,1536904800,82,-34.46,-58.91,59,9.17
50,Inuvik,20,CA,1536904800,86,68.36,-133.71,26.6,6.93
51,Castro,32,CL,1536906631,98,-42.48,-73.76,35.84,2.13
52,Kidal,36,ML,1536906632,38,18.44,1.41,74.36,3.13
53,Alyangula,0,AU,1536906563,81,-13.85,136.42,82.64,13.2
54,Matadi,92,CD,1536906632,91,-5.83,13.46,70.67,3.69
55,Hilo,75,US,1536904560,81,19.71,-155.08,78.08,4.7
57,Port Alfred,0,ZA,1536906445,92,-33.59,26.89,60.77,7.94
58,Muisne,76,EC,1536906633,94,0.61,-80.02,71.57,4.7
59,Mahina,32,ML,1536906633,100,13.76,-10.85,70.94,3.24
60,Barrow,0,AR,1536906634,93,-38.31,-60.23,49.79,8.61
61,Esperance,20,TT,1536904800,88,10.24,-61.45,78.8,6.15
62,Luwuk,8,ID,1536906634,69,-0.95,122.79,83.54,9.06
63,Tomatlan,80,MX,1536906635,96,19.93,-105.25,74.72,2.35
64,Whitehorse,75,CA,1536904800,75,60.72,-135.06,44.6,5.82
66,Arraial do Cabo,0,BR,1536906635,92,-22.97,-42.02,68.87,22.03
67,Jefferson City,1,US,1536905700,96,38.58,-92.17,69.98,2.35
68,Nhulunbuy,40,AU,1536905520,88,-12.18,136.78,78.8,11.41
69,Hermanus,36,ZA,1536906636,80,-34.42,19.24,53.57,7.27
70,Yumaguzino,92,RU,1536906637,49,52.9,56.39,68.51,10.51
71,San Cristobal,75,EC,1536904800,81,-0.39,-78.55,48.2,3.36
72,Luanda,75,AO,1536904800,83,-8.83,13.24,69.8,5.82
73,Port Hardy,40,CA,1536904800,93,50.7,-127.42,51.8,2.24
74,Lebanon,90,US,1536904560,89,43.64,-72.25,64.04,4.7
75,Fairbanks,40,US,1536904560,65,64.84,-147.72,57.2,5.82
76,Pervomayskiy,92,RU,1536906638,66,53.24,40.29,62.39,5.14
77,Jamestown,80,AU,1536906639,22,-33.21,138.6,76.79,21.03
78,Pizarro,56,CO,1536906912,100,4.95,-77.37,75.98,2.35
80,Kapaa,90,US,1536904560,90,22.08,-159.32,78.08,19.46
81,Ilulissat,24,GL,1536904200,74,69.22,-51.1,30.2,4.47
82,Bandarbeyla,0,SO,1536906913,78,9.49,50.81,75.17,22.7
83,Avarua,75,CK,1536904800,77,-21.21,-159.78,69.8,3.36
84,Georgetown,20,GY,1536904800,100,6.8,-58.16,71.6,4.7
85,Longyearbyen,75,NO,1536904200,100,78.22,15.63,32,5.82
86,Yerbogachen,76,RU,1536906915,51,61.28,108.01,46.55,3.69
87,Saskylakh,0,RU,1536906915,74,71.97,114.09,48.26,6.82
88,Sitka,0,US,1536906915,62,37.17,-99.65,77.69,16.78
89,Ziyang,88,CN,1536906916,95,30.12,104.65,70.94,4.59
90,Port Macquarie,0,AU,1536904800,50,-31.43,152.91,75.2,18.34
91,Airai,64,TL,1536906896,37,-8.93,125.41,84.71,1.45
92,Hinesville,1,US,1536904560,85,31.85,-81.6,78.8,3.36
93,Gigmoto,92,PH,1536906916,100,13.78,124.39,76.7,30.65
94,Ilhabela,24,BR,1536906917,98,-23.78,-45.36,69.14,4.36
95,Upernavik,56,GL,1536906917,100,72.79,-56.15,35.57,2.68
96,Provideniya,90,RU,1536903000,93,64.42,-173.23,46.4,8.95
97,Fethiye,20,TR,1536904200,64,36.62,29.12,71.6,5.82
98,Villeneuve-sur-Lot,90,FR,1536904800,93,44.41,0.7,60.8,6.93
99,Adrar,36,DZ,1536904800,38,27.87,-0.29,77,6.93
100,Oranjemund,8,ZA,1536906918,99,-28.55,16.43,56.54,15.66
101,Necochea,0,AR,1536906919,97,-38.55,-58.74,42.68,3.91
102,Kloulklubed,75,PW,1536904200,70,7.04,134.26,86,9.17
103,Tiksi,0,RU,1536906919,80,71.64,128.87,46.01,4.14
104,Susner,12,IN,1536906919,96,23.94,76.1,81.2,6.15
105,Hobart,0,AU,1536904800,52,-42.88,147.33,69.8,18.34
106,Cockburn Town,88,TC,1536906920,97,21.46,-71.14,83.63,16.44
107,Margate,0,AU,1536904800,57,-43.03,147.26,69.8,18.34
108,Tasiilaq,92,GL,1536904200,86,65.61,-37.64,39.2,1.12
109,Huambo,0,AO,1536901200,62,-12.78,15.73,59,5.82
110,La Baule-Escoublac,90,FR,1536904800,93,47.28,-2.4,53.6,3.36
111,Oum Hadjer,56,TD,1536906922,68,13.3,19.7,78.05,9.28
112,Mityana,20,UG,1536901200,88,0.4,32.05,69.8,5.82
114,Vaini,8,IN,1536906922,82,15.34,74.49,80.66,3.69
115,Lebu,44,ET,1536906923,80,8.96,38.73,61.67,3.58
116,Flinders,0,AU,1536904800,56,-34.58,150.85,71.6,9.17
117,Kassala,0,SD,1536906657,52,15.45,36.38,86.24,4.47
118,Kruisfontein,0,ZA,1536906924,92,-34,24.73,59.51,18.9
119,Mihail Kogalniceanu,20,RO,1536904800,68,44.37,28.45,69.8,9.17
120,Sawtell,8,AU,1536904800,73,-30.38,153.1,69.8,21.92
121,Tuktoyaktuk,90,CA,1536901200,92,69.44,-133.03,28.4,13.87
122,Comodoro Rivadavia,0,AR,1536904800,41,-45.87,-67.48,57.2,31.09
123,Lorengau,56,PG,1536906925,100,-2.02,147.27,83.54,7.27
124,Lavrentiya,88,RU,1536906925,95,65.58,-170.99,49.34,17.45
126,Dikson,64,RU,1536906926,99,73.51,80.55,38.99,19.46
127,Ulagan,0,RU,1536906926,41,50.63,87.96,43.94,3.02
129,Norman Wells,90,CA,1536904800,59,65.28,-126.83,37.4,8.05
